Filter,Geohash,Count,"Geo Centroid"
,d6,6,"{
  ""lat"": 12.183299981988966,
  ""lon"": -69.0000000782311
}"
,c8,6,"{
  ""lat"": 48.13226664438844,
  ""lon"": -106.75306672230363
}"
,6y,6,"{
  ""lat"": -9.17450001463294,
  ""lon"": -48.291266709566116
}"
,vf,5,"{
  ""lat"": 56.54531998001039,
  ""lon"": 84.91313992626965
}"
,r7,5,"{
  ""lat"": -27.5665800338611,
  ""lon"": 153.16161995753646
}"
,x4,4,"{
  ""lat"": 13.460099974181503,
  ""lon"": 144.76479997392744
}"
,ue,4,"{
  ""lat"": 64.98464997159317,
  ""lon"": 25.51109993364662
}"
,tc,4,"{
  ""lat"": 8.317099995911121,
  ""lon"": 80.4050999879837
}"
,sg,4,"{
  ""lat"": 21.516799991950393,
  ""lon"": 39.219199949875474
}"
,s3,4,"{
  ""lat"": 5.999999977648258,
  ""lon"": 11.999999955296516
}"
,d5,4,"{
  ""lat"": 19.24174997024238,
  ""lon"": -88.91855004709214
}"
,9w,4,"{
  ""lat"": 36.977399974130094,
  ""lon"": -103.35390002466738
}"
,9f,4,"{
  ""lat"": 15.683349980972707,
  ""lon"": -91.83220004662871
}"
,7p,4,"{
  ""lat"": -3.1711500277742743,
  ""lon"": -43.88365002349019
}"
,68,4,"{
  ""lat"": -43.25010001659393,
  ""lon"": -65.31330001540482
}"
,4r,4,"{
  ""lat"": -45.400000009685755,
  ""lon"": -72.70000004209578
}"
,y1,3,"{
  ""lat"": 56.00299998186529,
  ""lon"": 92.79929992742836
}"
,tw,3,"{
  ""lat"": 35.661533321253955,
  ""lon"": 71.3728666305542
}"
,sc,3,"{
  ""lat"": 8.341433317400515,
  ""lon"": 38.24973332695663
}"
,z0,2,"{
  ""lat"": 46.952199982479215,
  ""lon"": 142.7405999880284
}"
,y9,2,"{
  ""lat"": 52.03329996205866,
  ""lon"": 113.54999992065132
}"
,xp,2,"{
  ""lat"": 40.64579999540001,
  ""lon"": 140.58349994011223
}"
,vb,2,"{
  ""lat"": 50.34409996122122,
  ""lon"": 83.51289996877313
}"
,tm,2,"{
  ""lat"": 30.236099995672703,
  ""lon"": 67.00279992073774
}"
,t7,2,"{
  ""lat"": 20.99999996367842,
  ""lon"": 56.999999955296516
}"
,rp,2,"{
  ""lat"": -4.700000029988587,
  ""lon"": 136.46669995039701
}"
,qx,2,"{
  ""lat"": -4.740100018680096,
  ""lon"": 122.57109998725355
}"
,kz,2,"{
  ""lat"": -1.2841000221669674,
  ""lon"": 36.815499952062964
}"
,kr,2,"{
  ""lat"": -1.000000024214387,
  ""lon"": 11.749999970197678
}"
,k7,2,"{
  ""lat"": -22.567400014959276,
  ""lon"": 17.084899954497814
}"
,es,2,"{
  ""lat"": 28.099999967962503,
  ""lon"": -15.411300016567111
}"
,ed,2,"{
  ""lat"": 13.999999961815774,
  ""lon"": -14.00000000372529
}"
,eb,2,"{
  ""lat"": 5.307199973613024,
  ""lon"": -4.012400032952428
}"
,dk,2,"{
  ""lat"": 25.08329995907843,
  ""lon"": -77.35000004991889
}"
,cc,2,"{
  ""lat"": 50.896799974143505,
  ""lon"": -97.21800005994737
}"
,9e,2,"{
  ""lat"": 21.126299989409745,
  ""lon"": -101.65980004705489
}"
,6w,2,"{
  ""lat"": -8.767400016076863,
  ""lon"": -63.90310004353523
}"
,6k,2,"{
  ""lat"": -20.223400038667023,
  ""lon"": -70.1456000469625
}"
,67,2,"{
  ""lat"": -23.646400021389127,
  ""lon"": -70.39800002239645
}"
,yg,1,"{
  ""lat"": 62.03129998873919,
  ""lon"": 129.73249998874962
}"
,wc,1,"{
  ""lat"": 7.073099962435663,
  ""lon"": 125.61279994435608
}"
,v7,1,"{
  ""lat"": 67.49879996292293,
  ""lon"": 64.05249992385507
}"
,t1,1,"{
  ""lat"": 9.999999990686774,
  ""lon"": 48.999999929219484
}"
,g7,1,"{
  ""lat"": 63.973899967968464,
  ""lon"": -22.5208000279963
}"
,6x,1,"{
  ""lat"": -3.114500013180077,
  ""lon"": -60.02780003473163
}"
